ultralytics/yolov5,ultralytics/yolov5.1,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
allenai/rl4lms,allenai/RL4LMs,"['language-modeling', 'nlp', 'reinforcement-learning', 'dialogue-generation', 'machine-translation', 'natural-language-processing', 'summarization', 'table-to-text', 'text-generation']",A modular RL library to fine-tune language models to human preferences
lucidrains/mlp-mixer-pytorch,lucidrains/mlp-mixer-pytorch,"['deep-learning', 'vision']","An All-MLP solution for Vision, from Google AI"
google/hypernerf,google/hypernerf,"['nerf', 'neural-network', 'neural-rendering', '3d', 'novel-view-synthesis', 'machine-learning']","Code for ""HyperNeRF: A Higher-Dimensional Representation for Topologically Varying Neural Radiance Fields""."
yashbhalgat/hashnerf-pytorch,yashbhalgat/HashNeRF-pytorch,"['nerf', 'real-time-rendering', 'computer-graphics', 'computer-vision', 'neural-network', 'signed-distance-functions', 'artificial-intelligence', 'machine-learning', '3d-reconstruction', 'efficient-training', 'hashing']",Pure PyTorch Implementation of NVIDIA paper on Instant Training of Neural Graphics primitives: https://nvlabs.github.io/instant-ngp/
zhiqwang/yolov5-rt-stack,zhiqwang/yolov5-rt-stack,"['libtorch', 'yolov5', 'inference', 'torchscript', 'onnx', 'onnxruntime', 'tvm', 'pytorch', 'detection', 'jit', 'visualization', 'yolo', 'lightning', 'yolort', 'deployment', 'ncnn', 'tensorrt', 'graghsurgeon', 'trt', 'nms']","yolort is a runtime stack for yolov5 on specialized accelerators such as tensorrt, libtorch, onnxruntime, tvm and ncnn."
tinkoff-ai/etna,tinkoff-ai/etna,"['python', 'machine-learning', 'time-series', 'forecasting', 'timeseries', 'deep-learning']",ETNA – Time-Series Library
hkchengrex/cascadepsp,hkchengrex/CascadePSP,"['segmentation', 'deep-learning', 'pytorch', 'cvpr2020', 'computer-vision', 'segmentation-refinement', 'refinement-network', 'high-resolution']",[CVPR 2020] CascadePSP: Toward Class-Agnostic and Very High-Resolution Segmentation via Global and Local Refinement
amrzv/awesome-colab-notebooks,amrzv/awesome-colab-notebooks,"['colab-notebooks', 'machine-learning', 'deep-learning', 'generative-adversarial-network', 'tensorflow', 'tensorflow-tutorials', 'jupyter-notebooks', 'google-colaboratory', 'google-colab', 'google-colab-tutorial', 'google-colabs', 'google-colab-notebooks', 'google-colab-notebook', 'deep-neural-networks', 'pytorch', 'cnn']",Collection of google colaboratory notebooks for fast and easy experiments
nlp-uoregon/trankit,nlp-uoregon/trankit,"['nlp', 'natural-language-processing', 'pytorch', 'language-model', 'xlm-roberta', 'machine-learning', 'deeplearning', 'artificial-intelligence', 'universal-dependencies', 'multilingual', 'adapters', 'sentence-segmentation', 'tokenization', 'part-of-speech-tagging', 'morphological-tagging', 'dependency-parsing', 'lemmatization']",Trankit is a Light-Weight Transformer-based Python Toolkit for Multilingual Natural Language Processing
benedekrozemberczki/littleballoffur,benedekrozemberczki/littleballoffur,"['graph', 'graph-sampling', 'network-sampling', 'random-walk', 'forest-fire', 'node-embedding', 'network-embedding', 'minimum-spanning-tree', 'graph-embedding', 'sampling', 'metropolis-hastings', 'network-science', 'network-analytics', 'deep-learning', 'machine-learning', 'graph-sparsification', 'graph-algorithms', 'networkx', 'community-structure']",Little Ball of Fur - A graph sampling extension library for NetworKit and NetworkX (CIKM 2020)
snap-research/efficientformer,snap-research/EfficientFormer,"['deep-learning', 'detection', 'efficient-inference', 'efficient-neural-networks', 'pytorch', 'semantic-segmentation', 'transformer', 'imagenet', 'transformers']",EfficientFormerV2 & EfficientFormer(NeurIPs 2022)
teddykoker/torchsort,teddykoker/torchsort,"['pytorch', 'sort', 'ranking', 'cuda-kernel']","Fast, differentiable sorting and ranking in PyTorch"
gaparmar/clean-fid,GaParmar/clean-fid,"['computer-vision', 'deep-learning', 'computer-graphics', 'pytorch', 'generative-adversarial-network', 'gan', 'image-manipulation', 'image-generation', 'fid-score', 'fid-calculation', 'fid', 'frechet-inception-distance', 'frechet-distance']",PyTorch - FID calculation with proper image resizing and quantization steps [CVPR 2022]
huggingface/course,huggingface/course,"['deep-learning', 'nlp', 'transformers']",The Hugging Face course on Transformers
szq0214/meal-v2,szq0214/MEAL-V2,"['distillation', 'imagenet', 'compression-algorithm', 'mobilenetv3', 'efficientnet', 'pre-trained', 'resnet50', 'imagenet-dataset', 'meal', 'model-architecture', 'pytorch', 'distillation-model']",MEAL V2: Boosting Vanilla ResNet-50 to 80%+ Top-1 Accuracy on ImageNet without Tricks
intel/neural-compressor,intel/neural-compressor,"['low-precision', 'pruning', 'sparsity', 'auto-tuning', 'knowledge-distillation', 'quantization', 'quantization-aware-training', 'post-training-quantization', 'deep-learning']","Intel® Neural Compressor (formerly known as Intel® Low Precision Optimization Tool), targeting to provide unified APIs for network compression technologies, such as low precision quantization, sparsity, pruning, knowledge distillation, across different deep learning frameworks to pursue optimal inference performance."
abhi1thakur/tez,abhishekkrthakur/tez,"['tez', 'pytorch', 'deep-learning', 'deep-neural-networks', 'neural-networks']",Tez is a super-simple and lightweight Trainer for PyTorch. It also comes with many utils that you can use to tackle over 90% of deep learning projects in PyTorch.
astrazeneca/chemicalx,AstraZeneca/chemicalx,"['deep-learning', 'pytorch', 'deep-chemistry', 'graph-neural-network', 'drug', 'drug-pair', 'polypharmacy', 'drug-discovery', 'pharma', 'drug-interaction', 'chemistry', 'biology', 'machine-learning', 'torch', 'geometric-deep-learning', 'geometry', 'smiles', 'smiles-strings', 'torchdrug']",A PyTorch and TorchDrug based deep learning library for drug pair scoring. (KDD 2022)
rl-vig/libfewshot,RL-VIG/LibFewShot,"['few-shot-learning', 'meta-learning', 'fine-tuning', 'image-classification', 'pytorch']",LibFewShot: A Comprehensive Library for Few-shot Learning.
google-research/maxim,google-research/maxim,"['image', 'architecture', 'image-processing', 'computer-vision', 'transformer', 'mlp', 'enhancement', 'image-restoration', 'restoration', 'denoising', 'deblurring', 'dehazing', 'deraining', 'retouching', 'low-level-vision', 'image-enhancement']","[CVPR 2022 Oral] Official repository for ""MAXIM: Multi-Axis MLP for Image Processing"". SOTA for denoising, deblurring, deraining, dehazing, and enhancement."
cdpierse/transformers-interpret,cdpierse/transformers-interpret,"['nlp', 'machine-learning', 'natural-language-processing', 'explainable-ai', 'transformers', 'model-explainability', 'transformers-model', 'captum', 'deep-learning', 'neural-network', 'interpretability', 'computer-vision']",Model explainability that works seamlessly with 🤗 transformers. Explain your transformers model in just 2 lines of code. 
bubbliiiing/yolov4-tiny-pytorch,bubbliiiing/yolov4-tiny-pytorch,[], 这是一个YoloV4-tiny-pytorch的源码，可以用于训练自己的模型。
asteroid-team/torch-audiomentations,asteroid-team/torch-audiomentations,"['data-augmentation', 'pytorch', 'audio-data-augmentation', 'audio', 'waveform', 'dsp', 'audio-effects', 'machine-learning', 'deep-learning', 'music', 'sound', 'sound-processing', 'augmentation', 'python', 'differentiable-data-augmentation']",Fast audio data augmentation in PyTorch. Inspired by audiomentations. Useful for deep learning.
google/jaxopt,google/jaxopt,"['jax', 'optimization', 'deep-learning', 'differentiable-programming', 'bi-level']","Hardware accelerated, batchable and differentiable optimizers in JAX."
twentybn/sense,quic/sense,"['pytorch', 'neural-networks', 'deep-learning', 'computer-vision', 'activity-recognition', 'gesture-recognition', 'fitness-app', 'calorie-estimation', 'video']",Enhance your application with the ability to see and interact with humans using any RGB camera.
neuralmind-ai/portuguese-bert,neuralmind-ai/portuguese-bert,"['nlp-resources', 'bert-model', 'portuguese', 'deep-learning', 'bert', 'natural-language-processing']",Portuguese pre-trained BERT models
kekmodel/fixmatch-pytorch,kekmodel/FixMatch-pytorch,"['semi-supervised-learning', 'deeplearning', 'pytorch', 'fixmatch', 'randaugment']","Unofficial PyTorch implementation of ""FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence"""
alibaba-miil/asl,Alibaba-MIIL/ASL,"['multi-label-classification', 'loss', 'detection', 'classification']","Official Pytorch Implementation of: ""Asymmetric Loss For Multi-Label Classification""(ICCV, 2021) paper"
alibaba-miil/imagenet21k,Alibaba-MIIL/ImageNet21K,"['imagenet21k', 'pretraining', 'downstream', 'semantic-softmax', 'single-label', 'multi-label-classification', 'vision-transformer', 'mixer']","Official Pytorch Implementation of: ""ImageNet-21K Pretraining for the Masses""(NeurIPS, 2021) paper"
explosion/spacy-streamlit,explosion/spacy-streamlit,"['spacy', 'nlp', 'natural-language-processing', 'visualizers', 'dependency-parsing', 'part-of-speech-tagging', 'named-entity-recognition', 'ner', 'streamlit', 'visualizer', 'text-classification', 'word-vectors', 'tokenization', 'machine-learning']",👑 spaCy building blocks and visualizers for Streamlit apps
rstrudel/segmenter,rstrudel/segmenter,"['transformer', 'segmentation']",[ICCV2021] Official PyTorch implementation of Segmenter: Transformer for Semantic Segmentation
wtjiang98/psgan,wtjiang98/PSGAN,"['psgan', 'pytorch', 'makeup-transfer', 'makeup', 'generative-adversarial-network', 'gan']","PyTorch code for ""PSGAN: Pose and Expression Robust Spatial-Aware GAN for Customizable Makeup Transfer"" (CVPR 2020 Oral)"
bubbliiiing/yolox-pytorch,bubbliiiing/yolox-pytorch,[],这是一个yolox-pytorch的源码，可以用于训练自己的模型。
xxxnell/how-do-vits-work,xxxnell/how-do-vits-work,"['vision-transformer', 'transformer', 'self-attention', 'loss-landscape', 'pytorch']","(ICLR 2022 Spotlight) Official PyTorch implementation of ""How Do Vision Transformers Work?"""
ofa-sys/chinese-clip,OFA-Sys/Chinese-CLIP,"['chinese', 'computer-vision', 'multi-modal-learning', 'nlp', 'pytorch', 'vision-and-language-pre-training', 'image-text-retrieval', 'clip', 'pretrained-models', 'vision-language', 'deep-learning', 'multi-modal', 'contrastive-loss', 'transformers']",Chinese version of CLIP which achieves Chinese cross-modal retrieval and representation generation.
fafa-dl/awesome-backbones,Fafa-DL/Awesome-Backbones,"['pytorch', 'image-classification', 'transformer', 'cnn', 'pytorch-classification', 'deep-learning', 'resnet', 'swin-transformer']",Integrate deep learning models for image classification | Backbone learning/comparison/magic modification project
helblazer811/manimml,helblazer811/ManimML,"['machine-learning', 'neural-network', 'visualization', 'manim', '3blue1brown']",ManimML is a project focused on providing animations and visualizations of common machine learning concepts with the Manim Community Library.
lightning-ai/lightning-transformers,Lightning-AI/lightning-transformers,"['pytorch', 'pytorch-lightning', 'transformers', 'hydra']",Flexible components pairing 🤗 Transformers with :zap: Pytorch Lightning
jankrepl/deepdow,jankrepl/deepdow,"['deep-learning', 'portfolio-optimization', 'finance', 'machine-learning', 'pytorch', 'timeseries', 'markowitz', 'convex-optimization', 'stock-price-prediction', 'wealth-management', 'trading', 'allocation']",Portfolio optimization with deep learning.
lucidrains/flamingo-pytorch,lucidrains/flamingo-pytorch,"['artificial-intelligence', 'attention-mechanism', 'deep-learning', 'transformers', 'visual-question-answering']","Implementation of 🦩 Flamingo, state-of-the-art few-shot visual question answering attention net out of Deepmind, in Pytorch"
mit-han-lab/torchsparse,mit-han-lab/torchsparse,"['pytorch', 'point-cloud', 'acceleration']",[MLSys'22] TorchSparse: Efficient Point Cloud Inference Engine
sooftware/conformer,sooftware/conformer,"['conformer', 'transformer', 'cnn', 'transformer-xl', 'asr', 'speech-recognition', 'pytorch', 'conv', 'convolution', 'augmented', 'speech', 'recognition']","PyTorch implementation of ""Conformer: Convolution-augmented Transformer for Speech Recognition"" (INTERSPEECH 2020)"
kwotsin/mimicry,kwotsin/mimicry,"['generative-adversarial-networks', 'gans', 'reproducibility', 'pytorch', 'generative-models', 'machine-learning', 'gan', 'sngan', 'sngan-projection', 'wgan-gp', 'ssgan', 'dcgan', 'infomax-gan', 'cgan', 'cvpr', 'python', 'cvpr2020', 'cvpr20']",[CVPR 2020 Workshop] A PyTorch GAN library that reproduces research results for popular GANs.
huggingface/huggingface_hub,huggingface/huggingface_hub,"['model-hub', 'machine-learning', 'models', 'natural-language-processing', 'deep-learning', 'pytorch', 'pretrained-models', 'hacktoberfest']",All the open source things related to the Hugging Face Hub.
visual-attention-network/segnext,Visual-Attention-Network/SegNeXt,[],"Official Pytorch implementations for ""SegNeXt: Rethinking Convolutional Attention Design for Semantic Segmentation"" (NeurIPS 2022)"
lucidrains/coca-pytorch,lucidrains/CoCa-pytorch,"['artificial-intelligence', 'attention-mechanism', 'contrastive-learning', 'deep-learning', 'multimodal', 'transformers', 'image-to-text']","Implementation of CoCa, Contrastive Captioners are Image-Text Foundation Models, in Pytorch"
qpt-family/qpt,QPT-Family/QPT,"['paddlepaddle', 'qpt', 'python', 'cuda', 'gpu', 'dml', 'noavx', 'deep-learning', 'pypi']",[内测中]QPT - Python程序模块化封装工具（Py转EXE），快速将Python打包为EXE并添加CUDA、NoAVX等支持。
the-ai-summer/self-attention-cv,The-AI-Summer/self-attention-cv,"['deep-learning', 'transformer', 'transformers', 'self-attention', 'attention-mechanism', 'attention', 'machine-learning', 'machine-learning-algorithms', 'artificial-intelligence']",Implementation of various self-attention mechanisms focused on computer vision. Ongoing repository. 
jayleicn/clipbert,jayleicn/ClipBERT,"['pytorch', 'video-retrieval', 'video-question-answering', 'vqa', 'vision-and-language', 'cvpr2021']","[CVPR 2021 Best Student Paper Honorable Mention, Oral] Official PyTorch code for ClipBERT, an efficient framework for end-to-end learning on image-text and video-text tasks. "
arpitbansal297/cold-diffusion-models,arpitbansal297/Cold-Diffusion-Models,[],Official implementation of Cold-Diffusion for different transformations in pytorch.
jeff-sjtu/hybrik,Jeff-sjtu/HybrIK,"['3d-pose-estimation', 'smpl', 'inverse-kinematics', 'pose-estimation', 'pytorch', 'cvpr', 'cvpr21']","Official code of ""HybrIK: A Hybrid Analytical-Neural Inverse Kinematics Solution for 3D Human Pose and Shape Estimation"", CVPR 2021"
sail-sg/adan,sail-sg/Adan,"['adan', 'bert-model', 'convnext', 'deep-learning', 'fairseq', 'mae', 'optimizer', 'resnet', 'timm', 'vit', 'transformer-xl', 'artificial-intelligence', 'diffusion', 'dreamfusion', 'gpt2', 'pytorch']",Adan: Adaptive Nesterov Momentum Algorithm for Faster Optimizing Deep Models
